               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
1,0.059059,0.037265,0.040925,0.4994,0.62233,0.55743,0.36313,0.027992,0.02079,0.025133,0.003331,0.003331,0.070021
2,0.044487,0.033352,0.028929,0.56608,0.63437,0.63846,0.40889,0.027008,0.020541,0.017956,0.0053315,0.0053315,0.038688
3,0.040516,0.032492,0.02579,0.71464,0.65719,0.71625,0.48229,0.025038,0.01941,0.015322,0.0039991,0.0039991,0.0040222
4,0.036351,0.031511,0.023047,0.77219,0.78395,0.82387,0.58795,0.022063,0.016911,0.0083422,0.003331,0.003331,0.070021
5,0.037144,0.030633,0.019414,0.73756,0.65046,0.73627,0.52162,0.023898,0.018728,0.013435,0.0061552,0.0061552,0.039512
6,0.039572,0.032087,0.022515,0.50457,0.54048,0.52851,0.33139,0.030632,0.022622,0.020456,0.0072344,0.0072344,0.0072575
7,0.04011,0.034349,0.02726,0.7084,0.60907,0.68806,0.46822,0.024813,0.019445,0.014825,0.0047639,0.0047639,0.0047639
8,0.039098,0.033016,0.0253,0.67871,0.62924,0.69573,0.48689,0.024317,0.019249,0.01332,0.0047639,0.0047639,0.0047639
9,0.035497,0.031356,0.021537,0.79272,0.79766,0.84853,0.63604,0.021213,0.016688,0.0068399,0.003331,0.003331,0.070021
10,0.034309,0.030291,0.016912,0.79671,0.7642,0.83448,0.61473,0.023119,0.016669,0.0065136,0.0061552,0.0061552,0.039512
11,0.035776,0.029772,0.016721,0.79224,0.76395,0.81921,0.57394,0.024849,0.018573,0.0083061,0.0072344,0.0072344,0.0072575
12,0.035742,0.031132,0.019929,0.75939,0.75495,0.81087,0.59036,0.023442,0.017772,0.0090916,0.0047639,0.0047639,0.0047639
13,0.035767,0.030648,0.019208,0.77313,0.74671,0.82176,0.5902,0.022214,0.017863,0.0086597,0.0047639,0.0047639,0.0047639
14,0.033546,0.029626,0.017372,0.85554,0.83212,0.89781,0.6872,0.020023,0.015778,0.0036357,0.003331,0.003331,0.070021
15,0.031951,0.028467,0.012752,0.86805,0.79811,0.89438,0.6661,0.02124,0.015695,0.0037649,0.0061552,0.0061552,0.039512
16,0.033014,0.02743,0.011837,0.81666,0.76928,0.85249,0.58707,0.023439,0.01723,0.0064706,0.0072344,0.0072344,0.0072575
17,0.033291,0.029104,0.014883,0.76682,0.84057,0.8633,0.6301,0.021827,0.016802,0.0059374,0.0047639,0.0047639,0.0047639
18,0.033429,0.028849,0.014457,0.79414,0.79367,0.86401,0.64804,0.020789,0.016497,0.0065417,0.0047639,0.0047639,0.0047639
19,0.032126,0.028371,0.01465,0.89423,0.84415,0.92404,0.71273,0.018947,0.014884,0.0025374,0.003331,0.003331,0.070021
20,0.03024,0.027029,0.0099214,0.88572,0.8242,0.90896,0.69441,0.020496,0.015429,0.0027263,0.0061552,0.0061552,0.039512
21,0.030924,0.025716,0.009061,0.81593,0.80893,0.87352,0.63086,0.022326,0.01656,0.0057839,0.0072344,0.0072344,0.0072575
22,0.031088,0.027326,0.011191,0.8378,0.78958,0.87564,0.64315,0.021336,0.016182,0.0060746,0.0047639,0.0047639,0.0047639
23,0.031739,0.0277,0.012042,0.78926,0.77309,0.84962,0.63157,0.021424,0.017309,0.0049955,0.0047639,0.0047639,0.0047639
24,0.031879,0.02824,0.014218,0.88271,0.86047,0.92643,0.71944,0.019431,0.015037,0.002013,0.003331,0.003331,0.070021
25,0.029314,0.026272,0.0086867,0.87604,0.84401,0.91832,0.69062,0.020577,0.015562,0.0022939,0.0061552,0.0061552,0.039512
26,0.029747,0.024679,0.0074828,0.8124,0.86976,0.89987,0.66164,0.021235,0.01601,0.0044629,0.0072344,0.0072344,0.0072575
27,0.030495,0.027302,0.011197,0.85936,0.80091,0.89712,0.66678,0.021214,0.016168,0.0045705,0.0047639,0.0047639,0.0047639
28,0.034747,0.030521,0.01792,0.81353,0.82571,0.88033,0.64161,0.021434,0.017036,0.0049286,0.0047639,0.0047639,0.0047639
29,0.029786,0.026795,0.011038,0.88258,0.866,0.9261,0.71644,0.019384,0.015198,0.0017963,0.003331,0.003331,0.070021
30,0.028762,0.026591,0.0093102,0.89694,0.86021,0.93879,0.72801,0.01924,0.014986,0.0016714,0.0039986,0.0039986,0.037355
